,PER,ORG,DATE,LOC
bam,0.9999838471412659,0.9999764561653137,0.9999817609786987,0.9999770522117615
bbj,0.9999867677688599,0.9999900460243225,0.9999833703041077,0.9999887943267822
ewe,0.9999799728393555,0.9999898076057434,0.9999856352806091,0.9999924898147583
fon,0.9999799132347107,0.9999857544898987,0.9999709129333496,0.9999865889549255
hau,0.9999883770942688,0.99998539686203,0.9999772906303406,0.9999895691871643
ibo,0.9999917149543762,0.9999896287918091,0.9999827742576599,0.9999906420707703
kin,0.9999963045120239,0.9999982118606567,0.9999977350234985,0.999998152256012
lug,0.9999983906745911,0.9999964237213135,0.9999971389770508,0.9999961853027344
luo,0.9999951124191284,0.9999949932098389,0.9999955892562866,0.999995768070221
mos,0.9999898672103882,0.9999932050704956,0.9999789595603943,0.9999932050704956
nya,0.9999953508377075,0.9999976754188538,0.9999968409538269,0.999997615814209
pcm,0.9999931454658508,0.9999828338623047,0.9999839067459106,0.9999909400939941
sna,0.9999972581863403,0.9999982118606567,0.9999952912330627,0.9999972581863403
swa,0.999989926815033,0.9999849796295166,0.9999842643737793,0.999986469745636
tsn,0.9999969005584717,0.9999953508377075,0.9999973177909851,0.999995231628418
twi,0.9999881386756897,0.9999925494194031,0.9999866485595703,0.9999932050704956
wol,0.999994695186615,0.9999953508377075,0.9999932646751404,0.9999926090240479
xho,0.9999930262565613,0.9999943375587463,0.9999940395355225,0.9999961853027344
yor,0.9999880194664001,0.9999900460243225,0.9999780058860779,0.9999900460243225
zul,0.9999936819076538,0.9999960064888,0.9999925494194031,0.9999955892562866
